slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s010:instance_007_logical_graph:r08:o2:no_cut,10,instance_007_logical_graph,8,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_007_logical_graph:r09:o1:no_cut,10,instance_007_logical_graph,9,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_007_logical_graph:r09:o2:live,10,instance_007_logical_graph,9,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_007_logical_graph:r10:o1:live,10,instance_007_logical_graph,10,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_007_logical_graph:r10:o2:no_cut,10,instance_007_logical_graph,10,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r01:o1:live,10,instance_008_logical_graph,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r01:o2:no_cut,10,instance_008_logical_graph,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r02:o1:no_cut,10,instance_008_logical_graph,2,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r02:o2:live,10,instance_008_logical_graph,2,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r03:o1:live,10,instance_008_logical_graph,3,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r03:o2:no_cut,10,instance_008_logical_graph,3,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r04:o1:no_cut,10,instance_008_logical_graph,4,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r04:o2:live,10,instance_008_logical_graph,4,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r05:o1:live,10,instance_008_logical_graph,5,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r05:o2:no_cut,10,instance_008_logical_graph,5,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r06:o1:no_cut,10,instance_008_logical_graph,6,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r06:o2:live,10,instance_008_logical_graph,6,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r07:o1:live,10,instance_008_logical_graph,7,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r07:o2:no_cut,10,instance_008_logical_graph,7,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r08:o1:no_cut,10,instance_008_logical_graph,8,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r08:o2:live,10,instance_008_logical_graph,8,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r09:o1:live,10,instance_008_logical_graph,9,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r09:o2:no_cut,10,instance_008_logical_graph,9,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r10:o1:no_cut,10,instance_008_logical_graph,10,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008_logical_graph:r10:o2:live,10,instance_008_logical_graph,10,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r01:o1:no_cut,10,instance_009_logical_graph,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r01:o2:live,10,instance_009_logical_graph,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r02:o1:live,10,instance_009_logical_graph,2,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r02:o2:no_cut,10,instance_009_logical_graph,2,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r03:o1:no_cut,10,instance_009_logical_graph,3,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r03:o2:live,10,instance_009_logical_graph,3,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r04:o1:live,10,instance_009_logical_graph,4,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r04:o2:no_cut,10,instance_009_logical_graph,4,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r05:o1:no_cut,10,instance_009_logical_graph,5,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r05:o2:live,10,instance_009_logical_graph,5,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r06:o1:live,10,instance_009_logical_graph,6,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r06:o2:no_cut,10,instance_009_logical_graph,6,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r07:o1:no_cut,10,instance_009_logical_graph,7,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r07:o2:live,10,instance_009_logical_graph,7,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r08:o1:live,10,instance_009_logical_graph,8,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r08:o2:no_cut,10,instance_009_logical_graph,8,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r09:o1:no_cut,10,instance_009_logical_graph,9,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r09:o2:live,10,instance_009_logical_graph,9,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r10:o1:live,10,instance_009_logical_graph,10,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009_logical_graph:r10:o2:no_cut,10,instance_009_logical_graph,10,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r01:o1:live,10,instance_010_logical_graph,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r01:o2:no_cut,10,instance_010_logical_graph,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r02:o1:no_cut,10,instance_010_logical_graph,2,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r02:o2:live,10,instance_010_logical_graph,2,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r03:o1:live,10,instance_010_logical_graph,3,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r03:o2:no_cut,10,instance_010_logical_graph,3,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r04:o1:no_cut,10,instance_010_logical_graph,4,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r04:o2:live,10,instance_010_logical_graph,4,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r05:o1:live,10,instance_010_logical_graph,5,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r05:o2:no_cut,10,instance_010_logical_graph,5,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r06:o1:no_cut,10,instance_010_logical_graph,6,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r06:o2:live,10,instance_010_logical_graph,6,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r07:o1:live,10,instance_010_logical_graph,7,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r07:o2:no_cut,10,instance_010_logical_graph,7,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r08:o1:no_cut,10,instance_010_logical_graph,8,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r08:o2:live,10,instance_010_logical_graph,8,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r09:o1:live,10,instance_010_logical_graph,9,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r09:o2:no_cut,10,instance_010_logical_graph,9,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r10:o1:no_cut,10,instance_010_logical_graph,10,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010_logical_graph:r10:o2:live,10,instance_010_logical_graph,10,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r01:o1:no_cut,10,instance_011_logical_graph,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r01:o2:live,10,instance_011_logical_graph,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r02:o1:live,10,instance_011_logical_graph,2,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r02:o2:no_cut,10,instance_011_logical_graph,2,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r03:o1:no_cut,10,instance_011_logical_graph,3,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r03:o2:live,10,instance_011_logical_graph,3,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r04:o1:live,10,instance_011_logical_graph,4,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r04:o2:no_cut,10,instance_011_logical_graph,4,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r05:o1:no_cut,10,instance_011_logical_graph,5,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r05:o2:live,10,instance_011_logical_graph,5,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r06:o1:live,10,instance_011_logical_graph,6,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r06:o2:no_cut,10,instance_011_logical_graph,6,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r07:o1:no_cut,10,instance_011_logical_graph,7,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r07:o2:live,10,instance_011_logical_graph,7,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r08:o1:live,10,instance_011_logical_graph,8,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r08:o2:no_cut,10,instance_011_logical_graph,8,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r09:o1:no_cut,10,instance_011_logical_graph,9,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r09:o2:live,10,instance_011_logical_graph,9,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r10:o1:live,10,instance_011_logical_graph,10,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011_logical_graph:r10:o2:no_cut,10,instance_011_logical_graph,10,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r01:o1:live,10,instance_012_logical_graph,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r01:o2:no_cut,10,instance_012_logical_graph,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r02:o1:no_cut,10,instance_012_logical_graph,2,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r02:o2:live,10,instance_012_logical_graph,2,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r03:o1:live,10,instance_012_logical_graph,3,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r03:o2:no_cut,10,instance_012_logical_graph,3,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r04:o1:no_cut,10,instance_012_logical_graph,4,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r04:o2:live,10,instance_012_logical_graph,4,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r05:o1:live,10,instance_012_logical_graph,5,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r05:o2:no_cut,10,instance_012_logical_graph,5,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r06:o1:no_cut,10,instance_012_logical_graph,6,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r06:o2:live,10,instance_012_logical_graph,6,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r07:o1:live,10,instance_012_logical_graph,7,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r07:o2:no_cut,10,instance_012_logical_graph,7,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r08:o1:no_cut,10,instance_012_logical_graph,8,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r08:o2:live,10,instance_012_logical_graph,8,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r09:o1:live,10,instance_012_logical_graph,9,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r09:o2:no_cut,10,instance_012_logical_graph,9,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r10:o1:no_cut,10,instance_012_logical_graph,10,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012_logical_graph:r10:o2:live,10,instance_012_logical_graph,10,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r01:o1:no_cut,10,instance_013_logical_graph,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r01:o2:live,10,instance_013_logical_graph,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r02:o1:live,10,instance_013_logical_graph,2,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r02:o2:no_cut,10,instance_013_logical_graph,2,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r03:o1:no_cut,10,instance_013_logical_graph,3,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r03:o2:live,10,instance_013_logical_graph,3,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r04:o1:live,10,instance_013_logical_graph,4,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r04:o2:no_cut,10,instance_013_logical_graph,4,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r05:o1:no_cut,10,instance_013_logical_graph,5,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r05:o2:live,10,instance_013_logical_graph,5,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r06:o1:live,10,instance_013_logical_graph,6,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r06:o2:no_cut,10,instance_013_logical_graph,6,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r07:o1:no_cut,10,instance_013_logical_graph,7,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r07:o2:live,10,instance_013_logical_graph,7,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r08:o1:live,10,instance_013_logical_graph,8,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r08:o2:no_cut,10,instance_013_logical_graph,8,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r09:o1:no_cut,10,instance_013_logical_graph,9,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r09:o2:live,10,instance_013_logical_graph,9,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r10:o1:live,10,instance_013_logical_graph,10,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013_logical_graph:r10:o2:no_cut,10,instance_013_logical_graph,10,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r01:o1:live,10,instance_014_logical_graph,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r01:o2:no_cut,10,instance_014_logical_graph,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r02:o1:no_cut,10,instance_014_logical_graph,2,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r02:o2:live,10,instance_014_logical_graph,2,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r03:o1:live,10,instance_014_logical_graph,3,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r03:o2:no_cut,10,instance_014_logical_graph,3,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r04:o1:no_cut,10,instance_014_logical_graph,4,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r04:o2:live,10,instance_014_logical_graph,4,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r05:o1:live,10,instance_014_logical_graph,5,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r05:o2:no_cut,10,instance_014_logical_graph,5,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r06:o1:no_cut,10,instance_014_logical_graph,6,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r06:o2:live,10,instance_014_logical_graph,6,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r07:o1:live,10,instance_014_logical_graph,7,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r07:o2:no_cut,10,instance_014_logical_graph,7,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r08:o1:no_cut,10,instance_014_logical_graph,8,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r08:o2:live,10,instance_014_logical_graph,8,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r09:o1:live,10,instance_014_logical_graph,9,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r09:o2:no_cut,10,instance_014_logical_graph,9,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r10:o1:no_cut,10,instance_014_logical_graph,10,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014_logical_graph:r10:o2:live,10,instance_014_logical_graph,10,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r01:o1:no_cut,10,instance_015_logical_graph,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r01:o2:live,10,instance_015_logical_graph,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r02:o1:live,10,instance_015_logical_graph,2,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r02:o2:no_cut,10,instance_015_logical_graph,2,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r03:o1:no_cut,10,instance_015_logical_graph,3,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r03:o2:live,10,instance_015_logical_graph,3,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r04:o1:live,10,instance_015_logical_graph,4,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r04:o2:no_cut,10,instance_015_logical_graph,4,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r05:o1:no_cut,10,instance_015_logical_graph,5,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r05:o2:live,10,instance_015_logical_graph,5,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r06:o1:live,10,instance_015_logical_graph,6,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r06:o2:no_cut,10,instance_015_logical_graph,6,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r07:o1:no_cut,10,instance_015_logical_graph,7,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r07:o2:live,10,instance_015_logical_graph,7,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r08:o1:live,10,instance_015_logical_graph,8,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r08:o2:no_cut,10,instance_015_logical_graph,8,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r09:o1:no_cut,10,instance_015_logical_graph,9,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r09:o2:live,10,instance_015_logical_graph,9,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r10:o1:live,10,instance_015_logical_graph,10,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015_logical_graph:r10:o2:no_cut,10,instance_015_logical_graph,10,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r01:o1:live,10,instance_016_logical_graph,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r01:o2:no_cut,10,instance_016_logical_graph,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r02:o1:no_cut,10,instance_016_logical_graph,2,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r02:o2:live,10,instance_016_logical_graph,2,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r03:o1:live,10,instance_016_logical_graph,3,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r03:o2:no_cut,10,instance_016_logical_graph,3,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r04:o1:no_cut,10,instance_016_logical_graph,4,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r04:o2:live,10,instance_016_logical_graph,4,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r05:o1:live,10,instance_016_logical_graph,5,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r05:o2:no_cut,10,instance_016_logical_graph,5,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r06:o1:no_cut,10,instance_016_logical_graph,6,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r06:o2:live,10,instance_016_logical_graph,6,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r07:o1:live,10,instance_016_logical_graph,7,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016_logical_graph:r07:o2:no_cut,10,instance_016_logical_graph,7,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
